Source title,Source type,ISSN
2D Materials,journal,
3D Printing and Additive Manufacturing,journal,23297662
3D Research,journal,
AAC: Augmentative and Alternative Communication,journal,7434618
AAPG Bulletin,journal,1491423
AATCC Journal of Research,journal,
ABB Review,journal,10133119
ABU Technical Review,journal,1266209
Academic Journal of Manufacturing Engineering,journal,15837904
Accident Analysis and Prevention,journal,
ACI Materials Journal,journal,0889325X
ACI Structural Journal,journal,8893241
ACM Communications in Computer Algebra,journal,19322232
ACM Computing Surveys,journal,3600300
ACM Journal of Experimental Algorithmics,journal,10846654
ACM Journal on Emerging Technologies in Computing Systems,journal,15504832
ACM SIGPLAN Notices,journal,15232867
ACM Transactions on Accessible Computing,journal,19367228
ACM Transactions on Algorithms,journal,15496325
ACM Transactions on Applied Perception,journal,15443558
ACM Transactions on Architecture and Code Optimization,journal,15443566
ACM Transactions on Asian and Low-Resource Language Information Processing,journal,23754699
ACM Transactions on Autonomous and Adaptive Systems,journal,15564665
ACM Transactions on Computation Theory,journal,19423454
ACM Transactions on Computational Logic,journal,15293785
ACM Transactions on Computer Systems,journal,7342071
ACM Transactions on Computer-Human Interaction,journal,10730516
ACM Transactions on Computing Education,journal,
ACM Transactions on Cyber-Physical Systems,journal,2378962X
ACM Transactions on Database Systems,journal,3625915
ACM Transactions on Design Automation of Electronic Systems,journal,10844309
ACM Transactions on Economics and Computation,journal,21678375
ACM Transactions on Embedded Computing Systems,journal,15399087
ACM Transactions on Graphics,journal,7300301
ACM Transactions on Information Systems,journal,10468188
ACM Transactions on Intelligent Systems and Technology,journal,21576904
ACM Transactions on Interactive Intelligent Systems,journal,21606455
ACM Transactions on Internet Technology,journal,15335399
ACM Transactions on Knowledge Discovery from Data,journal,15564681
ACM Transactions on Management Information Systems,journal,2158656X
ACM Transactions on Mathematical Software,journal,983500
ACM Transactions on Modeling and Computer Simulation,journal,10493301
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,journal,23763639
"ACM Transactions on Multimedia Computing, Communications and Applications",journal,15516857
ACM Transactions on Parallel Computing,journal,23294949
ACM Transactions on Privacy and Security,journal,24712566
ACM Transactions on Programming Languages and Systems,journal,1640925
ACM Transactions on Reconfigurable Technology and Systems,journal,19367406
ACM Transactions on Sensor Networks,journal,15504859
ACM Transactions on Software Engineering and Methodology,journal,1049331X
ACM Transactions on Spatial Algorithms and Systems,journal,23740353
ACM Transactions on Storage,journal,15533077
